act_name,street,city,state,zip,phone,url
McLarty Automotive ,425 W. Capitol Ave,Little Rock,AR,72201,(501) 371-3830,www.mclartyautogroup.com
RML Automotive,1547 S. Stemmons Fwy.,Lewisville,TX,75067,(469) 671-0730,www.rmlauto.com
Servco Pacific Inc.,P.O. Box 2788,Honolulu,HI,96803,(808) 564-1300,www.servco.com
Ganley Auto Group,"8748 Brecksville Road, Ste. 210",Brecksville,OH,44141,(440) 584-8200,www.ganleyauto.com
Findlay Automotive Group,310 N. Gibson Road,Henderson,NV,89014,(702) 558-8888,www.findlayauto.com
Braman Dealerships,2060 Biscayne Blvd.,Miami,FL,33137,(305) 576-1889,www.bramanmiami.com
DARCARS Automotive Group,7550 Wisconsin Ave.,Bethesda,MD,20814,(301) 622-0300,www.darcars.com
Fletcher Jones Automotive Group,7300 W. Sahara Ave.,Las Vegas,NV,89117,(702) 739-9800,www.fletcherjones.com
Sheehy Auto Stores,"12701 Fair Lakes Circle, Ste. 250",Fairfax,VA,22033,(703) 802-3480,www.sheehy.com
Mac Haik Auto Group,10333 Katy Fwy.,Houston,TX,77024,(713) 932-5000,www.machaik.com
Ourisman Automotive Group,4400 Branch Ave.,Marlow Heights,MD,20748,(301) 423-4000,www.ourisman.com
Rick Case Automotive Group,14500 W. Sunrise Blvd.,Sunrise,FL,33323,(954) 377-7400,www.rickcase.com
RFJ Auto Partners Holdings Inc.,"500 N. Central Expressway, Ste. 440",Plano,TX,75074,(469) 326-9300,
Galpin Motors Inc.,15505 Roscoe Blvd.,North Hills,CA,91343,(818) 787-3800,www.galpin.com
Napleton Automotive Group,"One Oakbrook Terrace, Ste. 600",Oakbrook Terrace,IL,60181,(630) 530-3955,www.ednapleton.com
Ken Page Auto Group,9400 W. Atlantic Blvd.,Coral Springs,FL,33071,(754) 240-4546,
Priority Auto Group,1800 Greenbrier Pkwy.,Chesapeake,VA,23320,(757) 366-5000,PriorityAuto.com
Pohanka Automotive Group,1772 Ritchie Station Court,Capital Heights,MD,20743,(301) 899-7800,www.pohanka.com
Performance Automotive Network,5726 Dixie Hwy.,Fairfield,OH,45014,(513) 870-5020,www.shopperformance.com
Ray Catena Motor Car Corp.,910 Rte. One,Edison,NJ,8817,(732) 549-6600,www.raycatena.com
Summit Automotive Partners LLC,"10301 E. Arapahoe Road, Ste. 200",Centennial,CO,80112,(303) 209-3965,www.summit-ap.com
Premier Automotive,13040 I-10 Service Road,New Orleans,LA,70128,(504) 940-0000,www.premierautomotive.com
Bob Rohrman Auto Group,3900 South St.,Lafayette,IN,47905,(765) 448-1000,www.rohrman.com
Jeff Wyler Automotive Family Inc.,"401 Milford Pkwy., Ste. A",Milford,OH,45150,(513) 752-7450,www.wyler.com
Island Auto Group ,1580 Hylan Blvd.,Staten Island,NY,10305,718.979.0934,www.islandautogroup.com
Morgan Auto Group,1101 E. Fletcher Ave.,Tampa,FL,33612,(813) 936-3125,www.morganautogroup.com
Sullivan Automotive Group,2440 Santa Monica Blvd.,Santa Monica,CA,90404,(310) 829-1888,www.lacarguy.com
Piercey Automotive Group,16901 Millikan Ave.,Irvine,CA,92606,(949) 369-6000,www.pierceyautogroup.com
Chapman Automotive Group,P.O. Box 12375,Tempe,AZ,85284,(480) 970-0740,www.chapmanchoice.com
Gillman Cos.,10595 W. Sam Houston Parkway S.,Houston,TX,77099,(713) 776-7000,www.gillmanauto.com
Open Road Auto Group,400 U.S. Hwy. 22,Bridgewater,NJ,8807,(732) 650-1550,www.openroad.com
Shammas Automotive Group,1801 S. Figueroa St.,Los Angeles,CA,90015,(213) 748-8951,www.dtlamotors.com
Tuttle-Click Automotive Group,41 Auto Center Drive,Irvine,CA,92618,(949) 598-4800,www.tuttleclick.com
Balise Motor Sales Co.,122 Doty Circle,West Springfield,MA,1089,(413) 733-8604,www.baliseauto.com
Kahlig Auto Group,9207 San Pedro,San Antonio,TX,78216,(210) 426-3350,www.kahligauto.com
Lia Auto Group,1258 Central Ave.,Albany,NY,12205,(518) 489-2111,www.liacars.com
Car Pros Automotive Group,"181 S. 333rd St., Ste. 210",Federal Way,WA,98003,,www.carpros.com
John Eagle Auto Group,P.O. Box 7007,Dallas,TX,75209,(214) 357-0461,johneagle.com
McCombs Automotive,"755 E. Mulberry Ave., Ste. 600",San Antonio,TX,78212,(210) 821-6523,www.redmccombs.com
Rosatti/Plaza Auto Group,2740 Nostrand Ave.,Brooklyn,NY,11210,(718) 253-8400,www.plazaautomall.com
Zeigler Auto Group,4201 Stadium Drive,Kalamazoo,MI,49008,(269) 488-2271,www.zeigler.com
LaFontaine Automotive Group,4000 W. Highland Road,Highland,MI,48357,(248) 887-4747,www.thefamilydeal.com
Prime Motor Group,425 Providence Hwy.,Westwood,MA,2090,(617) 469-1000,driveprime.com
Fitzgerald Auto Malls,11411 Rockville Pike,Rockville,MD,20852,(301) 881-4000,www.fitzmall.com
Bommarito Automotive Group,15736 Manchester Road,Ellisville,MO,63011,(636) 391-7200,www.bommarito.com
Anderson Automotive Group,9101 Glenwood Ave.,Raleigh,NC,27617,(919) 787-0099,www.andersonautomotivegroup.com
John Elway Dealerships,"2425 E. Camelback Road, Ste. 1155",Phoenix,AZ,85016,(602) 381-6594,elwaydealers.com
Wilde Automotive Group,1710 A Hwy. 164,Waukesha,WI,53186,(262) 513-2770,www.wildeauto.com
Ferman Automotive Group,1306 W. Kennedy Blvd.,Tampa,FL,33606,(813) 251-2765,www.ferman.com
Bergstrom Automotive,One Neenah Center,Neenah,WI,54956,(920) 725-4444,www.bergstromauto.com
World Class Automotive Group,P.O. Box 1047,Addison,TX,75001,(214) 560-1602,therandallreedfamily.com
Rusnak Auto Group,267-337 W. Colorado Blvd.,Pasadena,CA,91105,(626) 449-0770,www.rusnakonline.com
Fox Motors,"200 Ottawa Ave., Ste. 800",Grand Rapids,MI,49503,(616) 774-4044,foxmotors.com
Kenwood Dealer Group Inc.,4780 Socialville Foster Road,Mason,OH,45040,(513) 683-5484,www.cincyautos.com
Chapman Auto Group,1170 Easton Road,Horsham,PA,19044,(267) 960-1700,www.chapmanautogroup.com
Ancira Enterprises,10855 IH 10 W.,San Antonio,TX,78230,(210) 558-5324,www.ancira.com
Piazza Auto Group,401 S. Schuylkill Ave.,Norristown,PA,19403,(610) 630-7911,www.piazzaautogroup.com
Brunswick Auto Mart,3031 Center Road,Brunswick,OH,44212,(330) 273-3300,www.brunswickautomart.com
Boucher Group Inc.,4141 S. 108th St.,Greenfield,WI,53228,(414) 427-4141,www.boucher.com
Future Automotive Group,650 Auto Mall Drive,Roseville,CA,95661,(916) 786-3673,www.futureautomotivegroup.com
Sam Pack Auto Group,2070 Diplomat Drive,Farmers Branch,TX,75234,(888) 478-0654,www.sampack.com
#1 Cochran Automotive,4520 William Penn Hwy.,Monroeville,PA,15146,(877) 262-4726,www.cochran.com
Ed Morse Automotive Group,2850 S. Federal Hwy.,Delray Beach,FL,33483,(800) 336-6773,www.edmorse.com
Reedman-Toll Auto World,1700 E. Lincoln Hwy.,Langhorne,PA,19047,(215) 757-4961,www.reedmantoll.com
Ron Tonkin Family of Dealerships,122 N.E. 122nd Ave.,Portland,OR,97230,(503) 255-4100,www.tonkin.com
Gettel Automotive,5959 E. SR 64,Bradenton,FL,34208,(941) 921-2655,www.gettel.com
Colonial Automotive Group,171 Great Road,Acton,MA,1720,(781) 431-9790,www.buycolonial.com
Garber Management Group,999 S. Washington Ave,Saginaw,MI,48601,(989) 790-9090,www.garberauto.com
Huffines Auto Dealerships,4500 W. Plano Pkwy.,Plano,TX,75093,(972) 867-6000,www.huffines.net
Phil Smith Automotive Group,4250 N. Federal Hwy.,Lighthouse Point,FL,33064,(954) 867-1234,www.philsmithauto.com
Sanderson Automotive,P.O. Box 1407,Glendale,AZ,85311,(623) 842-8682,www.sandersonford.com
Price Simms Auto Group,135 E. Sir Francis Drake Blvd.,Larkspur,CA,94939,(415) 808-4800,www.pricesimmsinc.com
Crain Automotive Team,5980 Wadley Road,Sherwood,AR,72120,(501) 542-5000,www.crainteam.com
Gunn Automotive Group,227 Broadway,San Antonio,TX,78205,(210) 472-2501,www.gunnauto.com
Kelly Automotive Group ,"155 Andover St., Rte. 114",Danvers,MA,1923,(978) 774-1000,www.kellyauto.com
Lou Fusz Automotive Network Inc.,925 N. Lindbergh,St. Louis,MO,63141,(314) 994-1500,www.fusz.com
Grieco Automotive Group,2001 S. Federal Hwy.,Delray Beach ,FL,33483,(561) 278-7800,www.griecocars.com
Mike Shaw Automotive,"90 Madison St., Ste. 702",Denver,CO,80206,(303) 639-6300,www.mikeshawautomotive.com
Mullinax Auto Group,1551 East Semoran,Apopka,FL,32703,(407) 889-7600,www.mullinaxford.com
Blaise Alexander Family Dealerships,10 Alexander Drive,Muncy,PA,17756,(570) 546-4925,www.blaisealexander.com
Continental Motors Group,460 Fort Hill Drive,Naperville,IL,60540,(331) 281-0339,www.continentalmotors.com
Hertrich Family of Auto Dealerships,26905 Sussex Hwy.,Seaford,DE,19973,(302) 629-5100,www.hertrichs.com
Fletcher Auto Group,808 Silverwood Trail,North Little Rock,AR,72116,(501) 352-3954,www.fletcherauto.com
Serra Automotive Group,"9709 Parkway E., Ste. D",Birmingham,AL,35215,(205) 836-6775,www.serraautomotive.com
Lester Glenn Auto Group,386 Rte. 37,Toms River,NJ,8753,(732) 349-4200,www.lesterglenn.com
Byers Automotive Group,427 S. Hamilton Road,Columbus,OH,43213,(614) 228-5111,www.byersauto.com
Carter Myers Automotive,100 Myers Drive,Charlottesville,VA,22901-1166,(434) 220-8815,www.cmacars.com
Phil Long Dealerships,1212 A Motor City Drive,Colorado Springs,CO,80905,(719) 575-7000,www.phillong.com
Headquarter Automotive,5895 N.W. 167th St.,Miami,FL,33015,(305) 423-4616,www.headquarterauto.com
Criswell Automotive,503 Quince Orchard Road,Gaithersburg,MD,20878,(301) 948-0880,criswellauto.com
Sansone Auto Network,90-100 Rte. 1 N.,Avenel,NJ,7001,(732) 587-1100,sansoneauto.com
AutoFair Automotive Group,1477 S. Willow St.,Manchester,NH,3103,(603) 634-1000,www.autofair.com
Bobby Rahal Automotive Group,6715 Carlisle Pike,Mechanicsburg,PA,17050,(717) 691-5600,www.bobbyrahal.com
Bob Moore Auto Group,P.O. Box 3206,Oklahoma City,OK,73102,(405) 605-2363,www.bobmoore.com
Shelly Automotive Group,9881 Research Drive,Irvine,CA,92618,(949) 387-8243,www.shellyautomotive.com
World Auto Group,3057 Rte. 10 E.,Denville,NJ,7834,(973) 442-0500,www.denvillenissan.com
Russ Darrow Group,W133 N8569 Executive Pkwy.,Menomonee Falls,WI,53051,(262) 250-9600,www.russdarrow.com
Holler Classic Automotive Group ,P.O. Box 1720,Winter Park,FL,32790,(407) 645-1331,www.hollerclassic.com
Green Family Stores Inc.,3801 Wabash Ave.,Springfield,IL,62707,(217) 522-1222,www.greenfamilystores.com 
JG Auto Group,"153 Treeline Park, Ste. 300",San Antonio,TX,78209,(210) 829-1800,
Richardson & Partners,8601 Lomas Blvd. N.E.,Albuquerque,NM,87112,(505) 292-0000,www.rich-ford.com
Romano Auto Dealerships,c/o 5431 N. Burdick St.,Fayetteville,NY,13066,(315) 637-4491,romanocars.com
Yark Automotive Group Inc.,6019 W. Central Ave.,Toledo,OH,43615,(419) 841-7771,Www.yarkauto.com
Momentum Auto Group ,2575 Auto Mall Pkwy.,Fairfield,CA,94533,(707) 402-3100,www.momentumautogroup.com
Day Automotive Group,1600 Golden Mile Hwy.,Monroeville,PA,15146,(724) 327-0900,www.dayauto.com
Perry Automotive Group,12740 Poway Road,Poway,CA,92064,(858) 748-1400,www.perryauto.com
Hitchcock Automotive Resources,1303 John Reed Court,City of Industry,CA,91745,(626) 839-8401,www.hitchcockautomotive.com
Noarus Auto Group,9670 Trask Ave.,Garden Grove,CA,92844,(310) 258-0920,www.noarus.com
Murgado Automotive Group,665 S.W. 8 St.,Miami,FL,33130,(305) 856-3000,www.BrickellMotors.com
Safford Automotive Group,7611 Loisdale Road,Springfield,VA,22150,(703) 866-1700,www.saffordauto.com
Stewart Management Group Inc.,"20844 Harper Ave., Ste. 100",Harper Woods,MI,48225,(313) 432-6200,
FRL Automotive,16600 N.W. 2nd Ave.,Miami,FL,33169,(305) 652-6500,www.toyotaofnorthmiami.com
Southwest Dealer Group,39650 LBJ Fwy. S.,Dallas,TX,75237,(972) 283-9797,southwestkia.com
AutoFocus Inc.,"2800 W. March Lane, Ste. 430",Stockton,CA,95219,(408) 819-0460,www.capitoltoyota.com
Preston Automotive Group,218 S. Main St.,Preston,MD,21655,,www.prestonmotor.com
Don Davis Auto Group,2366 E. Road to Six Flags,Arlington,TX,76011,(817) 588-5213,dondavisautogroup.com
Bob Loquercio Auto Group,1600 W. Lake St.,Streamwood,IL,60107,(773) 728-5000,www.blautogroup.com
Prestige Automotive Group,20200 E. Nine Mile Road,Saint Clair Shores,MI,48080,(586) 773-2369,www.prestigeautomotive.com
Bowers Automotive Group,2146 Chapman Road,Chattanooga,TN,37421,(423) 664-5790,bowersag.com
Bob Baker Auto Group,"591 Camino De La Reina, Ste. 1100",San Diego,CA,92108,(619) 297-1001,www.bobbaker.com
Martin Management Group,"1048 Ashley St., Ste. 401",Bowling Green,KY,42103,(270) 783-8080,www.martingp.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,krausefamilyford.com
Selma Auto Mall,2755 Auto Mall Drive,Selma,CA,93662,(559) 896-5000,www.selmaautomall.com
Peterson Auto Group,9101 W. Fairview Ave.,Boise,ID,83704,(208) 378-9000,petersoncars.com
Principle Auto,"153 Treeline Park, Ste. 200",San Antonio,TX,78209,(210) 437-3977,www.principleauto.com
Voss Auto Network,766 Miamisburg-Centerville Road,Centerville,OH,45459,(937) 428-2400,www.vossauto.com
MACMA ,"375 Lexington Ave., 7th Flr.",New York,NY,10017,(212) 450-0621,www.gallerygroup.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,angelakrauseford.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,hyundaiofkennesaw.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,motorcarsofgeorgia.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,huntersvilleford.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,ashevilleford.com
Krause Auto,P.O. Box 1249,Alpharetta,GA,30009,(678) 488-2269,andersonfordsc.com
