cop,act_name,street,city,state,zip,lat,lon,phone,url1,url2,brand1,brand2,brand3,brand4,brand5,brand6
TRUE,Audi Huntsville,6561 University Dr Nw,Huntsville,AL,35806,34.748,-86.6922,2568811881,www.huntsvilleaudial.com,www.audihuntsville.com,Audi,,,,,
TRUE,Audi Ithaca,370 Elmira Rd,Ithaca,NY,14850,42.4217,-76.5177,6072571515,www.audiithaca.com,,Audi,,,,,
TRUE,Audi Jackson,5320 I 55 N,Jackson,MS,39211,32.3749,-90.1478,6019879090,www.audijackson.com,,Audi,,,,,
TRUE,Audi Jacksonville,7230 Blanding Blvd,Jacksonville,FL,32244,30.2166,-81.7373,9045654000,www.jacksonvilleaudifl.com,www.audijax.com,Audi,,,,,
TRUE,Audi Kalamazoo,5622 West Main,Kalamazoo,MI,49009,42.296088,-85.65907,(888) 581-9202,www.maplehillaudi.com,,Audi,,,,,
TRUE,Audi Lancaster,1373 Manheim Pike / PO Box 4825,Lancaster,PA,17601,40.069725,-76.329629,(888) 460-9375,www.lancasteraudipa.com,,Audi,,,,,
TRUE,Audi Las Vegas,6335 W Sahara Ave,Las Vegas,NV,89146,36.1437,-115.23,7028227000,www.lasvegasaudi.com,www.audilasvegas.com,Audi,,,,,
TRUE,Audi Lighthouse Point,4250 N Federal Hwy,Lighthouse Point,FL,33064,26.2835,-80.0959,9545454650,www.lighthousepointaudifl.com,www.audilighthousepoint.com,Audi,,,,,
TRUE,Audi Livermore,3400 Las Positas,Livermore,CA,94551,37.70151,-121.759148,(888) 480-7295,www.livermoreaudi.com,,Audi,,,,,
TRUE,Audi Lynbrook,843 Sunrise Highway,Lynbrook,NY,11563,40.6565683,-73.6845581,(888) 349-5108,www.audilynbrook.com,www.audilynbrookny.com,Audi,,,,,
TRUE,Audi Manhattan,800 11th Avenue,New York,NY,10019,40.769053,-73.9922065,(888) 814-6626,www.audimanhattan.com,,Audi,,,,,
TRUE,Audi Marin,700 Francisco Blvd W,San Rafael,CA,94901,37.9636,-122.513,4154604100,www.audimarin.com,,Audi,,,,,
TRUE,Audi Meadowlands,425 Route 3 East,Secaucus,NJ,7094,40.7892498,-74.052186,(888) 815-1274,www.audimeadowlandsofsecaucus.com,,Audi,,,,,
TRUE,Audi Mechanicsburg,356 Woods Dr,Mechanicsburg,PA,17050,40.2402,-77.0503,7177373030,www.mechanicsburgaudipa.com,,Audi,,,,,
TRUE,Audi Melbourne,509 E Nasa Blvd,Melbourne,FL,32901,28.0928,-80.6144,3219560600,www.melbourneaudi.com,,Audi,,,,,
TRUE,Audi Memphis,1825 Covington Pike,Memphis,TN,38128,35.1741,-89.8976,9013888989,www.gossettaudiofmemphis.com,www.audimemphis.com,Audi,,,,,
TRUE,Audi Mendham,26 East Main Street,Mendham,NJ,7945,40.777201,-74.59806,(866) 751-7398,www.mendhamaudi.com,,Audi,,,,,
TRUE,Audi Mentor,8599 Market St,Mentor,OH,44060,41.6902,-81.3321,4402094000,www.audimentor.com,,Audi,,,,,
TRUE,Audi Michiana,4004 Grape Rd,Mishawaka,IN,46545,41.6972,-86.1872,5742547130,www.gurleyleepaudiofmishawaka.com,www.gurleyleepaudi.com,Audi,,,,,
TRUE,Audi Milwaukee,10606 W Arthur Ave,Milwaukee,WI,53227,43.0005405,-88.0467898,(888) 692-8315,www.milwaukeeaudi.com,,Audi,,,,,
TRUE,Audi Minneapolis,9393 Wayzata Blvd,Minneapolis,MN,55426,44.9721,-93.3975,7637449393,www.audiminneapolis.com,,Audi,,,,,
TRUE,Audi Mission Viejo,28451 Marguerite Parkway,Mission Viejo,CA,92692,33.5499327,-117.6714415,(888) 711-5837,www.audimv.com,,Audi,,,,,
TRUE,Audi Monterey Peninsula,3 Heitzinger Plaza,Seaside,CA,93955,36.609706,-121.8470478,(888) 720-5973,www.montereyaudi.com,,Audi,,,,,
TRUE,Audi Morton Grove,7000 Golf Road,Morton Grove,IL,60053,42.0557,-87.8006,8479988000,www.audimortongrove.com,,Audi,,,,,
TRUE,Audi Muskegon,1860 E Sternberg Rd,Muskegon,MI,49444,43.1542,-86.1999,2317992886,www.muskegonaudi.com,,Audi,,,,,
TRUE,Audi Naples,601 Airport Rd S,Naples,FL,34104,26.1481,-81.7665,2394353200,www.audinaples.com,,Audi,,,,,
TRUE,Audi Nashua,170 Main Dunstable Road,Nashua,NH,3060,42.744743,-71.4903975,(888) 475-5701,www.audinashua.com,,Audi,,,,,
TRUE,Audi Nashville,1576 Mallory Lane,Brentwood,TN,37027,35.9759039,-86.806106,(888) 779-0034,www.audinashville.com,,Audi,,,,,
TRUE,Audi Natick,549 Worcester St,Natick,MA,1760,42.3018,-71.3467,5086510388,www.audinatick.com,,Audi,,,,,
TRUE,Audi New Orleans,3400 N Causeway Blvd,Metairie,LA,70002,30.0108,-90.1551,5048388000,www.audineworleans.com,www.neworleansaudi.com,Audi,,,,,
TRUE,Audi Newport Beach,445 E. Pacific Coast Highway,Newport Beach,CA,92660,33.614977,-117.899536,(888) 539-5941,www.audinewportbeach.com,www.audinewportbeach.net,Audi,,,,,
TRUE,Audi Newton,34 Hampton House Rd,Newton,NJ,7860,41.0727,-74.7397,9733832626,www.newtonaudinj.com,www.audinewton.com,Audi,,,,,
TRUE,Audi North Atlanta,11505 Alpharetta Highway,Roswell,GA,30076,34.0596,-84.3257,6787953300,www.audinorthatlanta.com,,Audi,,,,,
TRUE,Audi North Austin,12971 Pond Springs Rd,Austin,TX,78729,30.4398,-97.7726,5122193150,www.audiaustin.com,www.audinorthaustin.com,Audi,,,,,
TRUE,Audi North Houston,17815 North Freeway,Houston,TX,77090,30.02521,-95.431243,(888) 801-1421,www.audinorthhouston.com,,Audi,,,,,
TRUE,Audi North Orlando,139 N Oregon St,Sanford,FL,32771,28.8121,-81.3414,4079924321,www.audinorthorlando.com,,Audi,,,,,
TRUE,Audi North Scottsdale,18088 N Scottsdale Rd,Phoenix,AZ,85054,33.6497,-111.926,4805384000,www.northscottsdaleaudiofphoenix.com,www.audinorthscottsdale.com,Audi,,,,,
TRUE,Audi North Shore,4400 West Brown Deer Road,Brown Deer,WI,53223,43.1784087,-87.9657082,(888) 451-0221,www.audinorthshore.com,,Audi,,,,,
TRUE,Audi Northlake,10831 Northlake Auto Plaza Blvd,Charlotte,NC,28269,35.3362,-80.7972,7043798300,www.audinorthlake.com,,Audi,,,,,
TRUE,Audi Norwell,59 Pond St,Norwell,MA,2061,42.1703,-70.8852,7812615000,www.norwellaudi.com,www.audinorwell.com,Audi,,,,,
TRUE,Audi Oakland,2560 Webster St,Oakland,CA,94612,37.8147,-122.265,5108937282,www.oaklandaudica.com,www.audiofoakland.com,Audi,,,,,
TRUE,Audi of Charlotte,9300 E Independence Blvd,Matthews,NC,28105,35.1393,-80.7177,7045358800,www.audiofcharlotte.com,www.drivedag.com,Audi,,,,,
TRUE,Audi of Downtown L.A.,1900 S Figueroa St,Los Angeles,CA,90007,34.0341,-118.272,2137457200,www.downtownlaaudioflosangeles.com,www.audidtla.com,Audi,,,,,
TRUE,Audi of Fairfield,435 Commerce Dr,Fairfield,CT,6825,41.1649,-73.2302,2033350666,www.fairfieldaudict.com,,Audi,,,,,
TRUE,Audi of Huntington,363 E Jericho Tpke,Huntington Station,NY,11746,40.8309,-73.3965,6314865600,www.huntingtonaudiofhungtingtonstation.com,www.audiofhuntington.com,Audi,,,,,
TRUE,Audi of Lexington,3000 Pink Pigeon Parkway,Lexington,KY,40509,38.0156,-84.419314,(888) 860-5842,www.audioflexington.com,,Audi,,,,,
TRUE,Audi of Mendham,26 E Main St,Mendham,NJ,7945,40.7766,-74.5987,9735436000,www.mendhamaudinj.com,,Audi,,,,,
TRUE,Audi of Nashua,170 Main Dunstable Rd,Nashua,NH,3060,42.7443,-71.4904,6035951700,www.nashuaaudi.com,,Audi,,,,,
TRUE,Audi of Rochester Hills,45441 Dequindre Rd,Rochester Hills,MI,48307,42.6271,-83.0928,2489977400,www.audiofrochesterhills.com,,Audi,,,,,
TRUE,Audi of Smithtown,578 Middle Country Rd,St. James,NY,11780,40.8596875,-73.1597185,(866) 455-2596,www.audiofsmithtown.com,www.smithtownaudiofstjames.com,Audi,,,,,
TRUE,Audi of Tucson,4690 E 22nd St,Tucson,AZ,85711,32.2068,-110.893,5207481000,www.tucsonaudiaz.com,www.auditucson.com,Audi,,,,,
TRUE,Audi of Wallingford,800 S Colony Rd,Wallingford,CT,6492,41.4396,-72.8321,2032949000,www.audiofwallingford.com,,Audi,,,,,
TRUE,Audi Omaha,808 N 102nd St.,Omaha,NE,68114,41.267,-96.0735,4023978200,www.audiomaha.com,,Audi,,,,,
TRUE,Audi Oneonta,7517 State Highway 23,Oneonta,NY,13820,42.4384,-74.9916,6074328100,www.audioneonta.com,,Audi,,,,,
TRUE,Audi Orland Park,8021 W 159th St,Tinley Park,IL,60477,41.6016,-87.8152,7083420300,www.orlandparkaudi.com,,Audi,,,,,
TRUE,Audi Oxnard,1521 Auto Center Dr,Oxnard,CA,93036,34.2265,-119.156,8052883800,www.oxnardaudica.com,,Audi,,,,,
TRUE,Audi Pacific,20460 Hawthorne Blvd,Torrance,CA,90503,33.8456,-118.354,3102553200,www.audipacific.com,,Audi,,,,,
TRUE,Audi Palo Alto,1730 Embarcadero Rd,Palo Alto,CA,94303,37.4499,-122.118,6508566300,www.audipaloalto.com,,Audi,,,,,
TRUE,Audi Pembroke Pines,15000 Sheridan St,Fort Lauderdale,FL,33331,26.0285,-80.3483,9546202000,www.audipembrokepines.com,,Audi,,,,,
TRUE,Audi Peoria,16900 N 88th Dr,Peoria,AZ,85382,33.6367,-112.25,6235614700,www.peoriaazaudi.com/index.htm,www.audipeoriaaz.com,Audi,,,,,
TRUE,Audi Petoskey,825 Charlevoix Avenue,Petoskey,MI,49770,45.3698229,-84.972682,(888) 478-1060,www.fletchsaudi.com,,Audi,,,,,
TRUE,Audi Plano,5930 W Plano Pkwy,Plano,TX,75093,33.0153,-96.8267,2144523800,www.boardwalk-audi.com,www.audiplano.com,Audi,,,,,
TRUE,Audi Quad Cities,3602 N. Harrison St.,Davenport,IA,52806,41.5574,-90.5772,5633888610,www.quadcitiesaudi.com,,Audi,,,,,
TRUE,Audi Raleigh,4000 Capital Hills Dr,Raleigh,NC,27616,35.8858,-78.5681,9198768766,www.audiraleigh.com,,Audi,,,,,
TRUE,Audi Rancho Mirage,71265 Highway 111,Rancho Mirage,CA,92270,33.7472,-116.42,7606742555,www.audiranchomirage.com,,Audi,,,,,
TRUE,Audi Reading,2746 Bernville Rd,Leesport,PA,19533,40.3868,-75.9901,6107776501,www.audireading.com,,Audi,,,,,
TRUE,Audi Reno Tahoe,9190 S Virginia St,Reno,NV,89511,39.4464,-119.774,7753351335,www.audirenotahoe.com,,Audi,,,,,
TRUE,Audi Rochester,3955 W Henrietta Rd,Rochester,NY,14623,43.0738,-77.6441,5853341600,www.audirochester.com,,Audi,,,,,
TRUE,Audi Salt Lake City,999 S State St,Salt Lake City,UT,84111,40.7472,-111.888,8014332834,www.audisaltlakecity.com,www.strongaudi.com,Audi,,,,,
TRUE,Audi San Diego,9010 Miramar Rd,San Diego,CA,92126,32.894,-117.13,8585788600,www.audisd.com,www.audisandiego.com,Audi,,,,,
TRUE,Audi San Francisco,280 S Van Ness Ave,San Francisco,CA,94103,37.7686,-122.418,4152418100,www.audisanfrancisco.com,,Audi,,,,,
TRUE,Audi San Juan,1001 E Expressway 83,San Juan,TX,78589,26.1923,-98.1355,9564753801,www.audisanjuan.com,,Audi,,,,,
TRUE,Audi San Juan Puerto Rico,John F. Kennedy Ave KM 3.8 / Marginal St.,SanJuan,PR,920,18.425642,-66.095053,(888) 902-5366,www.sanjuanaudi.com,,Audi,,,,,
TRUE,Audi Santa Barbara,401 Hitchcock Way,Santa Barbara,CA,93105,34.434019,-119.746601,(888) 476-2076,www.audisantabarbara.com,,Audi,,,,,
TRUE,Audi Shrewsbury,780 Boston Turnpike,Shrewsbury,MA,1545,42.2779206,-71.6928737,(866) 540-2649,www.audishrewsbury.com,,Audi,,,,,
TRUE,Audi Silver Spring,3151 Automobile Blvd,Silver Spring,MD,20904,39.0779,-76.9478,3018472200,www.audisilverspring.com,,Audi,,,,,
TRUE,Audi Sioux Falls,805 W 41st St,Sioux Falls,SD,57105,43.5145,-96.7356,6053363655,www.grahamaudi.com,,Audi,,,,,
TRUE,Audi South Austin,4738 IH-35 South,Austin,TX,78745,30.208263,-97.75769,(888) 508-9703,www.audisouthaustin.com,,Audi,,,,,
TRUE,Audi South Burlington,1325 Shelburne Rd,South Burlington,VT,5403,44.4336,-73.2109,8028613010,www.audisouthburlington.com,,Audi,,,,,
TRUE,Audi South Orlando,4725 Vineland Rd,Orlando,FL,32811,28.493738,-81.436513,(888) 531-5622,www.audisouthorlando.com,,Audi,,,,,
TRUE,Audi Southampton,705 County Rd. 39A,Southampton,NY,11968,40.899805,-72.374542,(877) 267-2098,www.southamptonaudi.com,,Audi,,,,,
TRUE,Audi Spokane,10006 E. Sprague Avenue,Spokane Valley,WA,99206,47.656662,-117.270382,(888) 897-1421,www.audispokane.com,www.applewayaudiofspokane.com,Audi,,,,,
TRUE,Audi Springfield,3500 E Sunshine St.,Springfield,MO,65809,37.1798,-93.2231,4178812834,www.audispringfield.com,,Audi,,,,,
TRUE,Audi St. Paul,2450 Maplewood Dr,Maplewood,MN,55109,45.0156,-93.0512,6514941400,www.audistpaul.com,,Audi,,,,,
TRUE,Audi State College,3220 West College Avenue,State College,PA,16801,40.7602532,-77.8767362,(888) 623-6408,www.statecollegeaudipa.com,,Audi,,,,,
TRUE,Audi Stevens Creek,3350 Stevens Creek Boulevard,San Jose,CA,95117,37.3227959,-121.956227,(888) 439-6179,www.sanjoseaudi.com,,Audi,,,,,
TRUE,Audi Stratham,58 Portsmouth Ave,Stratham,NH,3885,43.0067,-70.9187,6034180285,www.strathamaudinh.com,www.audistratham.com,Audi,,,,,
TRUE,Audi Stuart,3990 Se Federal Hwy,Stuart,FL,34997,27.1548,-80.2203,7722143900,www.audistuart.com,,Audi,,,,,
TRUE,Audi Sylvania,5570 Monroe St,Sylvania,OH,43560,41.7078,-83.6689,4198855111,www.sylvaniaaudi.com,,Audi,,,,,
TRUE,Audi Tacoma,1701 Alexander Ave E Ste B,Fife,WA,98424,47.2427,-122.373,2534753832,www.robertlarsonaudioftacoma.com,www.auditacoma.com,Audi,,,,,
TRUE,Audi Tampa,105 East Fowler Avenue,Tampa,FL,33612,28.0544466,-82.4575478,(888) 486-8115,www.auditampa.com,,Audi,,,,,
TRUE,Audi Tulsa,4208 S Memorial Dr,Tulsa,OK,74145,36.1018,-95.8866,9187122834,www.auditulsa.com,,Audi,,,,,
TRUE,Audi Turnersville,3400-A1 Route 42,Turnersville,NJ,8012,39.7291,-75.0298,8566497930,www.turnersvilleaudi.com,,Audi,,,,,
TRUE,Audi Tysons Corner,8598 Leesburg Pike,Vienna,VA,22182,38.9309,-77.2419,7035646100,www.auditysonscorner.com,,Audi,,,,,
TRUE,Audi Valencia,23923 Creekside Rd,Valencia,CA,91355,34.4193,-118.553,6618881400,www.audivalencia.com,,Audi,,,,,
TRUE,Audi Virginia Beach,2865 Virginia Beach Blvd,Virginia Beach,VA,23452,36.8438,-76.0699,7574901111,www.checkeredflagaudiofvirginiabeach.com,www.audivirginiabeach.com,Audi,,,,,
TRUE,Audi Warrington,1607 Easton Rd,Warrington,PA,18976,40.2647,-75.1304,2153431600,www.warringtonaudipa.com,,Audi,,,,,
TRUE,Audi Warwick,1517b Bald Hill Rd,Warwick,RI,2886,41.6991,-71.4965,4018211510,www.inskipaudiofwarwick.com,,Audi,,,,,
TRUE,Audi Wausau,1501 Morning Glory Lane,Wausau,WI,54401,44.9154346,-89.6513987,(888) 434-4541,www.kocourekaudi.com,,Audi,,,,,
TRUE,Audi West County,15736 Manchester Rd,Ellisville,MO,63011,38.5925,-90.5795,6363917228,www.audiwestcounty.com,,Audi,,,,,
TRUE,Audi West Covina,2016 E Garvey Ave S,West Covina,CA,91791,34.0716,-117.901,6263843400,www.westcovinaaudica.com,www.penskeaudi.com,Audi,,,,,
TRUE,Audi West Houston,11850 Katy Freeway,Houston,TX,77079,29.7851367,-95.5956527,(888) 445-6998,www.audiwest.com,,Audi,,,,,
TRUE,Audi West Palm Beach,2815 Okeechobee Boulevard,West Palm Beach,FL,33409,26.7073259,-80.096894,(888) 437-5135,www.bramanaudi.com,,Audi,,,,,
TRUE,Audi Westmont,276 E Ogden Ave,Westmont,IL,60559,41.8105,-87.9705,6306556700,www.laurelwestmontaudi.com,www.audiwestmont.com,Audi,,,,,
TRUE,Audi Westwood,420 Providence Highway,Westwood,MA,2090,42.2131987,-71.1817074,(888) 731-4208,www.primeaudi.com,,Audi,,,,,
TRUE,Audi Wichita,1575 N Greenwich Rd,Wichita,KS,67206,37.7123,-97.2081,3167198700,www.audiwichita.com,,Audi,,,,,
TRUE,Audi Willow Grove,1520 Easton Rd,Willow Grove,PA,19090,40.16,-75.1231,2159380600,www.willowgroveaudipa.com,www.audiwg.com,Audi,,,,,
